,URL,Name,Price,Rating,Reviews,ASIN,Manufacturer
10,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679.,4.0,"5,610 ratings",B09VTDMRY7,FUR JADEN
11,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),599.,3.7,"2,462 ratings",B09QJ7ZF2Y,
12,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649.,3.9,"16,960 ratings",B085MHDJ93,Amazing Bags
13,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849.,3.9,"3,442 ratings",B0BJ32LQ6X,Amazing Bags
14,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849.,4.3,"5,600 ratings",B07YDGQQN5,Fur Jaden
15,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","1,329",4.1,693 ratings,B0BSHBH9K2,Fur Jaden
16,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,Martucci 16 inch 36L Casual Waterproof Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,599,3.8,199 ratings,B0B1HM2ZGX,Martuci
17,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,699.,4.0,377 ratings,B09W4VMZ79,"‎FLAB INTERNATIONAL PRIVATE LIMITED, FLAB INTERNATIONAL PRIVATE LIMITED PLOT NO. 357 E, PACE CITY-2, SEC-37, GURGAON - 122001 (HARYANA) INDIA 91- 9873326777"
18,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",420.,4.1,74 ratings,B09SB5DP5Y,
19,https://www.amazon.in/s?k=bags&crid=L7FLEA6QV28S&sprefix=bag%2Caps%2C232&ref=nb_sb_noss_1,"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",329.,4.3,"29,983 ratings",B0821PYKVK,"‎SINAR INDAH PULP & PAPER PVT LTD Plot No: 122 B, Sec-6, HSIIDC, IGC,Bawal-123501, Distt - Rewari(HR)"
